d1_raw,d1_full,d1_seconds,w1_minutes
1:58,1:58,118,88
4:46,4:46,286,51
L,4:00,240,78
S,2:00,120,85
L,4:00,240,65
L,4:00,240,75
2:23,2:23,143,77
4:25,4:25,265,69
4:13,4:13,253,92
4:22,4:22,262,68
2:00,2:00,120,87
4:27,4:27,267,61
1:45,1:45,105,81
4:30,4:30,270,55
1:37,1:37,97,93
4:42,4:42,282,53
2:34,2:34,154,84
3:42,3:42,222,70
4:14,4:14,254,73
1:56,1:56,116,93
4:21,4:21,261,50
L,4:00,240,87
L,4:00,240,77
L,4:00,240,74
4:13,4:13,253,72
4:00,4:00,240,82
4:08,4:08,248,74
1:53,1:53,113,80
4:28,4:28,268,49
1:57,1:57,117,91
4:13,4:13,253,53
1:43,1:43,103,86
4:27,4:27,267,49
4:15,4:15,255,79
3:58,3:58,238,89
4:23,4:23,263,87
1:58,1:58,118,76
4:27,4:27,267,59
4:16,4:16,256,80
1:55,1:55,115,89
4:25,4:25,265,45
M,3:00,180,93
L,4:00,240,72
S,2:00,120,71
L,4:00,240,54
3:17,3:17,197,79
1:50,1:50,110,74
4:37,4:37,277,65
1:50,1:50,110,78
4:37,4:37,277,57
4:36,4:36,276,87
4:15,4:15,255,72
1:56,1:56,116,84
4:59,4:59,299,47
1:58,1:58,118,84
4:18,4:18,258,57
4:12,4:12,252,87
4:32,4:32,272,68
4:24,4:24,264,86
4:37,4:37,277,75
S,2:00,120,73
L,4:00,240,53
L,4:00,240,82
3:55,3:55,235,93
S,2:00,120,77
4:30,4:30,270,54
1:48,1:48,108,96
4:00,4:00,240,48
2:45,2:45,165,89
4:44,4:44,284,63
3:58,3:58,238,84
1:57,1:57,117,76
4:58,4:58,298,62
1:51,1:51,111,83
4:48,4:48,288,50
L,4:00,240,85
L,4:00,240,78
L,4:00,240,78
L,4:00,240,81
L,4:00,240,78
L,4:00,240,76
L,4:00,240,74
S,2:00,120,81
L,4:00,240,66
1:56,1:56,116,84
4:20,4:20,260,48
1:40,1:40,100,93
4:46,4:46,286,47
1:57,1:57,117,87
4:41,4:41,281,51
1:56,1:56,116,78
4:25,4:25,265,54
2:08,2:08,128,87
4:05,4:05,245,52
2:04,2:04,124,85
L,4:00,240,58
L,4:00,240,88
S,2:00,120,79
